epoch,loss_train/mse_loss,loss_train/stft_loss_magnitude,loss_train/stft_loss_spectral_convergence,loss_train/total_loss,loss_val/mse_loss,loss_val/stft_loss_magnitude,loss_val/stft_loss_spectral_convergence,loss_val/total_loss,metrics/MAE_test,metrics/MAE_val,step
0,,,,,0.02841055952012539,7.0290727615356445,2.129517078399658,9.187000274658203,,0.1262005865573883,7
1,0.01940080337226391,6.475409984588623,1.679519534111023,8.174330711364746,,,,,,,9
1,,,,,0.0327456034719944,6.893734931945801,1.679142951965332,8.605623245239258,,0.13856272399425507,15
2,0.025803042575716972,6.435728549957275,1.4376742839813232,7.899206161499023,,,,,,,19
2,,,,,0.0357678085565567,6.835229396820068,1.5374369621276855,8.40843391418457,,0.14692366123199463,23
3,0.03158009797334671,6.36378812789917,1.3573299646377563,7.752697944641113,,,,,,,29
3,,,,,0.039262279868125916,6.763108253479004,1.432839035987854,8.235209465026855,,0.1562337577342987,31
4,0.03802855312824249,6.431392192840576,1.3137876987457275,7.78320837020874,,,,,,,39
4,,,,,0.04256763681769371,6.696122169494629,1.3649495840072632,8.103638648986816,,0.16480138897895813,39
5,,,,,0.044860027730464935,6.648095607757568,1.3299931287765503,8.02294921875,,0.17058123648166656,47
6,0.04043705388903618,6.381528854370117,1.2691845893859863,7.691150665283203,,,,,,,49
6,,,,,0.047353345900774,6.6217041015625,1.2983689308166504,7.967426300048828,,0.1767760068178177,55
7,0.03930498659610748,5.988137245178223,1.1831717491149902,7.210614204406738,,,,,,,59
7,,,,,0.05098699405789375,6.556422233581543,1.2624585628509521,7.869868278503418,,0.1855541318655014,63
8,0.04930960014462471,6.070117950439453,1.1801974773406982,7.299624919891357,,,,,,,69
8,,,,,0.05954054743051529,6.4863786697387695,1.2028074264526367,7.748726844787598,,0.20514068007469177,71
9,0.06524450331926346,6.129446506500244,1.1334110498428345,7.328102111816406,,,,,,,79
9,,,,,0.07111154496669769,6.419703483581543,1.1561923027038574,7.647007942199707,,0.22957868874073029,79
10,,,,,0.08313741534948349,6.3600077629089355,1.1249750852584839,7.568120002746582,,0.25284212827682495,87
11,0.0803505927324295,6.158543109893799,1.1005181074142456,7.339411735534668,,,,,,,89
11,,,,,0.09704476594924927,6.318026542663574,1.1021250486373901,7.5171966552734375,,0.27762147784233093,95
12,0.09452001750469208,5.767642974853516,1.0594688653945923,6.921631813049316,,,,,,,99
12,,,,,0.11135111004114151,6.28717041015625,1.0854488611221313,7.483970642089844,,0.3011799156665802,103
13,0.1115383431315422,5.731459617614746,1.0527985095977783,6.895796298980713,,,,,,,109
13,,,,,0.12466864287853241,6.238948345184326,1.0741463899612427,7.437763214111328,,0.32170963287353516,111
14,0.130914106965065,5.653326988220215,1.0365713834762573,6.820812225341797,,,,,,,119
14,,,,,0.14254696667194366,6.207579612731934,1.062814712524414,7.412941932678223,,0.34752801060676575,119
15,,,,,0.15607500076293945,6.177319049835205,1.056318998336792,7.389713287353516,,0.3659348487854004,127
16,0.1491810381412506,5.6197509765625,1.0338530540466309,6.8027849197387695,,,,,,,129
16,,,,,0.168497696518898,6.1555094718933105,1.0513705015182495,7.375377655029297,,0.38209617137908936,135
17,0.16342909634113312,5.550229072570801,1.0282835960388184,6.741941928863525,,,,,,,139
17,,,,,0.17847074568271637,6.124441146850586,1.048031210899353,7.350943088531494,,0.39462143182754517,143
18,0.17475098371505737,5.535294532775879,1.0294568538665771,6.739502429962158,,,,,,,149
18,,,,,0.1853550523519516,6.09969425201416,1.0458728075027466,7.3309221267700195,,0.40303945541381836,151
19,0.1797121912240982,5.660512924194336,1.0329374074935913,6.873162269592285,,,,,,,159
19,,,,,0.18640829622745514,6.083652496337891,1.0453815460205078,7.315442085266113,,0.40429431200027466,159
20,,,,,0.1883632391691208,6.067890644073486,1.0449073314666748,7.301161289215088,,0.4066099226474762,167
21,0.18373185396194458,5.7553300857543945,1.0355786085128784,6.974640846252441,,,,,,,169
21,,,,,0.19051465392112732,6.052321434020996,1.0443329811096191,7.287168979644775,,0.40916842222213745,175
22,0.18514245748519897,5.553995609283447,1.0288735628128052,6.768011569976807,,,,,,,179
22,,,,,0.1954098343849182,6.040932655334473,1.042885422706604,7.279228210449219,,0.41495975852012634,183
23,0.1978001892566681,5.933808326721191,1.0386892557144165,7.170297622680664,,,,,,,189
23,,,,,0.20238932967185974,6.027224540710449,1.0411430597305298,7.270756721496582,,0.4231066107749939,191
24,0.2016039937734604,5.872045993804932,1.034218668937683,7.107868671417236,,,,,,,199
24,,,,,0.20563125610351562,6.016408443450928,1.040466070175171,7.262505531311035,,0.42683154344558716,199
25,,,,,0.2092447727918625,6.000075817108154,1.0394054651260376,7.248725891113281,,0.43093904852867126,207
26,0.20392443239688873,5.492622375488281,1.0275415182113647,6.724088191986084,,,,,,,209
26,,,,,0.2179725468158722,5.99099063873291,1.0378209352493286,7.246784210205078,,0.4407678544521332,215
27,0.21093012392520905,5.335559368133545,1.020520567893982,6.567009925842285,,,,,,,219
27,,,,,0.2232828140258789,5.966963768005371,1.036728858947754,7.226975440979004,,0.4466148912906647,223
28,0.22393901646137238,5.648166179656982,1.0270518064498901,6.8991570472717285,,,,,,,229
28,,,,,0.2317754328250885,5.957211494445801,1.0351349115371704,7.224122047424316,,0.45585331320762634,231
29,0.22945307195186615,5.452013969421387,1.0222548246383667,6.70372200012207,,,,,,,239
29,,,,,0.2371445596218109,5.943943023681641,1.034152626991272,7.215240478515625,,0.4615868926048279,239
30,,,,,0.23288407921791077,5.952798366546631,1.0349290370941162,7.220611572265625,,0.4570139944553375,247
31,0.22530274093151093,5.4429731369018555,1.0230138301849365,6.691289901733398,,,,,,,249
31,,,,,0.22813478112220764,5.9437103271484375,1.0355277061462402,7.207373142242432,,0.4518330693244934,255
32,0.2173735350370407,5.2804694175720215,1.0210464000701904,6.518889427185059,,,,,,,259
32,,,,,0.2239220142364502,5.934200763702393,1.0361961126327515,7.194319248199463,,0.4472571313381195,263
33,0.21691851317882538,5.682984828948975,1.0302194356918335,6.9301228523254395,,,,,,,269
33,,,,,0.22104516625404358,5.9372639656066895,1.0370084047317505,7.195317268371582,,0.4440510869026184,271
34,0.2150730937719345,5.751888275146484,1.0319050550460815,6.998866558074951,,,,,,,279
34,,,,,0.21878549456596375,5.931700229644775,1.0375828742980957,7.188068389892578,,0.44152745604515076,279
35,,,,,0.20455458760261536,5.950470447540283,1.0405970811843872,7.195622444152832,,0.4254233241081238,287
36,0.19428303837776184,5.415248870849609,1.0258421897888184,6.635374069213867,,,,,,,289
36,,,,,0.20262391865253448,5.933326244354248,1.040955901145935,7.176905632019043,,0.4231749176979065,295
37,0.19494746625423431,5.261021137237549,1.0199580192565918,6.475926399230957,,,,,,,299
37,,,,,0.2114448845386505,5.936561107635498,1.0391392707824707,7.187145233154297,,0.4332646429538727,303
38,0.20687495172023773,5.323065757751465,1.0224531888961792,6.552393913269043,,,,,,,309
38,,,,,0.21073727309703827,5.908687114715576,1.039241075515747,7.158665657043457,,0.4324463903903961,311
39,0.19783706963062286,5.459700107574463,1.0272871255874634,6.684824466705322,,,,,,,319
39,,,,,0.20456509292125702,5.908010959625244,1.0405316352844238,7.153107643127441,,0.42537862062454224,319
