epoch,loss_train/mse_loss,loss_train/stft_loss_magnitude,loss_train/stft_loss_spectral_convergence,loss_train/total_loss,loss_val/mse_loss,loss_val/stft_loss_magnitude,loss_val/stft_loss_spectral_convergence,loss_val/total_loss,metrics/MAE_val,step
0,,,,,0.32652759552001953,2.185537338256836,0.837111234664917,3.3491761684417725,0.46670350432395935,8
1,0.31935402750968933,2.023057222366333,0.8465039730072021,3.188915252685547,,,,,,9
1,,,,,0.22690549492835999,1.889304280281067,0.8116589784622192,2.927868604660034,0.38568928837776184,17
2,0.20273230969905853,1.7522313594818115,0.7969470620155334,2.75191068649292,,,,,,19
2,,,,,0.1958501785993576,1.7369740009307861,0.7917478084564209,2.724571943283081,0.3558557331562042,26
3,0.2320844978094101,1.6144133806228638,0.7216957211494446,2.5681936740875244,,,,,,29
3,,,,,0.18275810778141022,1.6455365419387817,0.7617927193641663,2.5900871753692627,0.3396790623664856,35
4,0.21344773471355438,1.313573956489563,0.7176281809806824,2.244649887084961,,,,,,39
4,,,,,0.24644894897937775,1.5864063501358032,0.793530285358429,2.626385450363159,0.3911210894584656,44
5,0.2590067982673645,1.646198034286499,0.7531684637069702,2.6583733558654785,,,,,,49
5,,,,,0.2557310163974762,1.5420299768447876,0.714008092880249,2.5117692947387695,0.40677720308303833,53
6,0.19329607486724854,1.4991426467895508,0.7520519495010376,2.444490671157837,,,,,,59
6,,,,,0.20208823680877686,1.514496922492981,0.7247637510299683,2.4413487911224365,0.35992351174354553,62
7,0.20843860507011414,1.4509356021881104,0.7384889125823975,2.3978631496429443,,,,,,69
7,,,,,0.20380687713623047,1.492314100265503,0.7451317310333252,2.4412529468536377,0.35904407501220703,71
8,0.22693169116973877,1.8399428129196167,0.7857829928398132,2.8526573181152344,,,,,,79
8,,,,,0.20151600241661072,1.4722195863723755,0.745583713054657,2.4193191528320312,0.3560033142566681,80
9,0.2199186235666275,1.3042536973953247,0.7305272817611694,2.25469970703125,,,,,,89
9,,,,,0.22229626774787903,1.4408657550811768,0.7113916873931885,2.374553680419922,0.37261879444122314,89
10,,,,,0.2669350504875183,1.4263124465942383,0.7722232937812805,2.465471029281616,0.4137283265590668,98
11,0.27004382014274597,1.3424460887908936,0.7688371539115906,2.3813271522521973,,,,,,99
11,,,,,0.23898334801197052,1.414038062095642,0.7671917080879211,2.420213222503662,0.39291146397590637,107
12,0.22417037189006805,1.2467151880264282,0.7719771862030029,2.2428627014160156,,,,,,109
12,,,,,0.22033116221427917,1.4014185667037964,0.7488380074501038,2.3705878257751465,0.37332090735435486,116
13,0.23434831202030182,1.3723763227462769,0.7236631512641907,2.330387830734253,,,,,,119
13,,,,,0.2083624303340912,1.3783073425292969,0.7420377135276794,2.328707456588745,0.36610957980155945,125
14,0.2558172643184662,1.528779149055481,0.7213932275772095,2.5059895515441895,,,,,,129
14,,,,,2.086176633834839,1.392200231552124,0.9357075691223145,4.414083957672119,1.3087764978408813,134
15,0.2695983052253723,1.2620129585266113,0.7515088319778442,2.2831201553344727,,,,,,139
15,,,,,0.6743257641792297,1.407090425491333,0.8899480104446411,2.9713640213012695,0.6848089694976807,143
16,0.5681397914886475,1.3676925897598267,0.8720768094062805,2.8079090118408203,,,,,,149
16,,,,,0.275684654712677,1.4035495519638062,0.8076645731925964,2.48689866065979,0.4032953679561615,152
17,0.27241140604019165,1.9650404453277588,0.7799065113067627,3.0173583030700684,,,,,,159
17,,,,,0.2220093011856079,1.4064501523971558,0.8666698336601257,2.495129346847534,0.3833671808242798,161
18,0.15903976559638977,1.4126673936843872,0.8354089260101318,2.407115936279297,,,,,,169
18,,,,,0.5393439531326294,1.3950623273849487,0.74031662940979,2.674722671508789,0.6111295223236084,170
19,0.30237337946891785,1.3549631834030151,0.7044857144355774,2.3618221282958984,,,,,,179
19,,,,,0.22929008305072784,1.3835171461105347,0.7423225045204163,2.3551297187805176,0.38703522086143494,179
20,,,,,0.26094353199005127,1.3777186870574951,0.7090501189231873,2.347712516784668,0.40518584847450256,188
21,0.25172021985054016,1.3277238607406616,0.7313655018806458,2.31080961227417,,,,,,189
21,,,,,0.19958004355430603,1.372124195098877,0.765487551689148,2.3371918201446533,0.35670724511146545,197
22,0.2156715840101242,1.3412734270095825,0.7628659009933472,2.3198108673095703,,,,,,199
22,,,,,0.18118056654930115,1.3711817264556885,0.7723807692527771,2.3247432708740234,0.34207168221473694,206
23,0.27111485600471497,1.1874037981033325,0.6824748516082764,2.140993595123291,,,,,,209
23,,,,,0.2463444471359253,1.3795480728149414,0.703990638256073,2.329883098602295,0.3991362452507019,215
24,0.3542804718017578,1.499996542930603,0.7446860074996948,2.5989630222320557,,,,,,219
24,,,,,0.2635636031627655,1.3814257383346558,0.7120010852813721,2.356990337371826,0.41378796100616455,224
25,0.1756531447172165,1.6859478950500488,0.7382637858390808,2.599864959716797,,,,,,229
25,,,,,0.2202686220407486,1.3709853887557983,0.6977123618125916,2.288966417312622,0.3718249499797821,233
26,0.2424258589744568,1.1381382942199707,0.6561150550842285,2.036679267883301,,,,,,239
26,,,,,0.1769561618566513,1.3665438890457153,0.7779662609100342,2.3214664459228516,0.33546456694602966,242
27,0.17638006806373596,2.242741584777832,0.7366117238998413,3.155733346939087,,,,,,249
27,,,,,0.21955834329128265,1.3641023635864258,0.6783382296562195,2.2619991302490234,0.37707409262657166,251
28,0.288727730512619,1.5260610580444336,0.7339827418327332,2.548771381378174,,,,,,259
28,,,,,0.24472324550151825,1.3629783391952515,0.675826907157898,2.2835285663604736,0.3978390395641327,260
