epoch,loss_train/mse_loss,loss_train/stft_loss_magnitude,loss_train/stft_loss_spectral_convergence,loss_train/total_loss,loss_val/mse_loss,loss_val/stft_loss_magnitude,loss_val/stft_loss_spectral_convergence,loss_val/total_loss,metrics/MAE_test,metrics/MAE_val,step
0,,,,,0.02231149561703205,6.254083633422852,1.3641984462738037,7.640593528747559,,0.12178065627813339,3
1,,,,,0.02330848202109337,6.224669456481934,1.3351117372512817,7.583090305328369,,0.12505871057510376,7
2,0.02786751091480255,6.316389560699463,1.4313937425613403,7.775650978088379,,,,,,,9
2,,,,,0.024086080491542816,6.1795454025268555,1.315522313117981,7.519153594970703,,0.12758974730968475,11
3,,,,,0.02523934468626976,6.118406295776367,1.2891247272491455,7.432770729064941,,0.13127410411834717,15
4,0.03277043625712395,6.1646857261657715,1.384859323501587,7.582315444946289,,,,,,,19
4,,,,,0.02683844044804573,6.069814682006836,1.2601834535598755,7.356835842132568,,0.1362825483083725,19
5,,,,,0.029001513496041298,6.003474235534668,1.2285293340682983,7.261004447937012,,0.14287205040454865,23
6,,,,,0.03196308761835098,5.942685604095459,1.1961650848388672,7.17081356048584,,0.15158087015151978,27
7,0.0419393852353096,6.182199001312256,1.3117694854736328,7.535907745361328,,,,,,,29
7,,,,,0.036133065819740295,5.831849575042725,1.162926197052002,7.030908107757568,,0.16335558891296387,31
8,,,,,0.04219584912061691,5.731987953186035,1.1309980154037476,6.905181884765625,,0.17951315641403198,35
9,0.05322326719760895,5.6745405197143555,1.1419216394424438,6.869685173034668,,,,,,,39
9,,,,,0.051920704543590546,5.622412204742432,1.0990664958953857,6.773399353027344,,0.20337751507759094,39
10,,,,,0.06897486746311188,5.508664608001709,1.0690051317214966,6.646644592285156,,0.24040409922599792,43
11,,,,,0.10036823898553848,5.365559101104736,1.0439478158950806,6.509875297546387,,0.29758474230766296,47
12,0.11901967972517014,5.545820236206055,1.0630781650543213,6.7279181480407715,,,,,,,49
12,,,,,0.15552020072937012,5.231415271759033,1.0265250205993652,6.413460731506348,,0.37838801741600037,51
13,,,,,0.23825278878211975,5.07523250579834,1.0162676572799683,6.3297529220581055,,0.4747861325740814,55
14,0.31134065985679626,5.158660888671875,1.0184566974639893,6.488458156585693,,,,,,,59
14,,,,,0.3262125849723816,4.963068962097168,1.011257529258728,6.300539016723633,,0.5594080090522766,59
15,,,,,0.3749810755252838,4.898380756378174,1.0094807147979736,6.282842636108398,,0.6012044548988342,63
16,,,,,0.36498257517814636,4.893259048461914,1.0098344087600708,6.268075942993164,,0.5928823947906494,67
17,0.362074077129364,5.144561290740967,1.0161556005477905,6.522790908813477,,,,,,,69
17,,,,,0.3196698725223541,4.909946441650391,1.0114202499389648,6.241036415100098,,0.5535480976104736,71
18,,,,,0.27271783351898193,4.937441349029541,1.013734221458435,6.223893165588379,,0.509571373462677,75
19,0.2470475286245346,4.94859504699707,1.0169905424118042,6.21263313293457,,,,,,,79
19,,,,,0.23898892104625702,4.960375785827637,1.0159122943878174,6.215276718139648,,0.4754815995693207,79
20,,,,,0.2212013304233551,4.966915130615234,1.016707181930542,6.2048234939575195,,0.4563966691493988,83
21,,,,,0.2161855399608612,4.974111080169678,1.016981840133667,6.207278251647949,,0.4508094787597656,87
22,0.2193557173013687,5.0437235832214355,1.0228432416915894,6.285922527313232,,,,,,,89
22,,,,,0.21833202242851257,4.9700212478637695,1.0161312818527222,6.204484462738037,,0.4530675411224365,91
23,,,,,0.2256598174571991,4.942761421203613,1.0161504745483398,6.184571743011475,,0.46104735136032104,95
24,0.23630391061306,5.012343883514404,1.0239403247833252,6.27258825302124,,,,,,,99
24,,,,,0.23304852843284607,4.945112705230713,1.0162503719329834,6.194411754608154,,0.4692230820655823,99
25,,,,,0.23788079619407654,4.923885345458984,1.0157592296600342,6.177525520324707,,0.4742599427700043,103
26,,,,,0.24009907245635986,4.888606071472168,1.015579104423523,6.144284248352051,,0.4765605330467224,107
27,0.2429518848657608,4.891834259033203,1.0190552473068237,6.153841495513916,,,,,,,109
27,,,,,0.23815234005451202,4.87636137008667,1.0157649517059326,6.130278587341309,,0.4745343327522278,111
