epoch,loss_train/mse_loss,loss_train/stft_loss_magnitude,loss_train/stft_loss_spectral_convergence,loss_train/total_loss,loss_val/mse_loss,loss_val/stft_loss_magnitude,loss_val/stft_loss_spectral_convergence,loss_val/total_loss,metrics/MAE_test,metrics/MAE_val,step
0,0.0761699229478836,5.695052146911621,1.5044559240341187,0.20511552691459656,,,,,,,9
0,,,,,0.08169980347156525,5.636744976043701,1.4307446479797363,7.149189472198486,,0.22969253361225128,9
1,0.05475904420018196,5.990974426269531,2.580261707305908,0.20038114488124847,,,,,,,19
1,,,,,0.05247648432850838,6.0884552001953125,3.299262762069702,9.440194129943848,,0.1497809737920761,19
2,0.11143966764211655,5.307784080505371,1.2419469356536865,0.23001481592655182,,,,,,,29
2,,,,,0.11748013645410538,5.266789436340332,1.2214089632034302,6.605679035186768,,0.2932663857936859,29
3,0.052853912115097046,5.961866855621338,3.088968276977539,0.20298093557357788,,,,,,,39
3,,,,,0.05630675330758095,5.855750560760498,2.385563611984253,8.297621726989746,,0.16447009146213531,39
4,0.06290504336357117,2.8040177822113037,1.8672398328781128,0.1376577913761139,,,,,,,49
4,,,,,0.05722181871533394,2.7945849895477295,2.2785942554473877,5.130401134490967,,0.16731588542461395,49
5,0.06969887763261795,5.1767425537109375,1.6202435493469238,0.1894361674785614,,,,,,,59
5,,,,,0.07121375948190689,4.694070816040039,1.586795687675476,6.35207986831665,,0.20677177608013153,59
6,0.05607539042830467,5.914842128753662,2.3261971473693848,0.19763419032096863,,,,,,,69
6,,,,,0.05576322600245476,5.911741733551025,2.347229242324829,8.31473445892334,,0.16456559300422668,69
7,0.05903560668230057,5.536510944366455,1.7163341045379639,0.18692916631698608,,,,,,,79
7,,,,,0.06349053233861923,5.728996276855469,1.7901908159255981,7.582677841186523,,0.18780410289764404,79
8,0.05757831409573555,5.802857875823975,2.111557960510254,0.1947510540485382,,,,,,,89
8,,,,,0.057717908173799515,5.802478790283203,2.0882577896118164,7.9484543800354,,0.17185057699680328,89
9,0.06042413040995598,5.7039408683776855,1.8910040855407715,0.19341298937797546,,,,,,,99
9,,,,,0.060020577162504196,5.70495080947876,1.910787582397461,7.675759792327881,,0.17931099236011505,99
10,0.05811634287238121,5.688886642456055,1.9917736053466797,0.19181180000305176,,,,,,,109
10,,,,,0.05838710069656372,5.665518283843994,1.9707111120224,7.694616317749023,,0.17532794177532196,109
11,0.05791962146759033,5.610265254974365,1.9718481302261353,0.18984341621398926,,,,,,,119
11,,,,,0.057726163417100906,5.60474967956543,1.9793027639389038,7.641778945922852,,0.17404623329639435,119
12,0.05741788074374199,5.527191162109375,1.9596998691558838,0.18755869567394257,,,,,,,129
12,,,,,0.05736474692821503,5.533430099487305,1.9598127603530884,7.550607681274414,,0.17387668788433075,129
13,0.05630037188529968,5.4572625160217285,1.9789100885391235,0.18523472547531128,,,,,,,139
13,,,,,0.05626415088772774,5.458154201507568,1.9745187759399414,7.4889373779296875,,0.17170651257038116,139
14,0.05627654120326042,5.2936224937438965,1.9564911127090454,0.18171389400959015,,,,,,,149
14,,,,,0.05700941011309624,5.384226322174072,2.0102875232696533,7.451524257659912,,0.17096082866191864,149
15,0.05605284869670868,5.251182556152344,1.9186854362487793,0.18026335537433624,,,,,,,159
15,,,,,0.05603290721774101,5.238820552825928,1.9191794395446777,7.2140326499938965,,0.1718069463968277,159
16,0.05333114415407181,5.157849311828613,1.9871833324432373,0.17635995149612427,,,,,,,169
16,,,,,0.05341083183884621,5.142108917236328,1.9710675477981567,7.1665873527526855,,0.1662333458662033,169
17,0.0520985946059227,5.043999671936035,1.9430185556411743,0.17240875959396362,,,,,,,179
17,,,,,0.05198255181312561,5.017904758453369,1.9477777481079102,7.017665386199951,,0.16419155895709991,179
18,0.052853427827358246,4.905624866485596,1.940361738204956,0.17036953568458557,,,,,,,189
18,,,,,0.05030186101794243,4.917670249938965,1.9086872339248657,6.876659870147705,,0.16184912621974945,189
19,0.04905625805258751,4.761120319366455,1.8549593687057495,0.162828266620636,,,,,,,199
19,,,,,0.04822609946131706,4.7608208656311035,1.858877182006836,6.667923450469971,,0.15964531898498535,199
20,0.05136634409427643,4.656202793121338,1.7942070960998535,0.162432461977005,,,,,,,209
20,,,,,0.05174703896045685,4.620787143707275,1.7562276124954224,6.428762435913086,,0.1641284078359604,209
21,0.04468663036823273,4.472250938415527,1.6203373670578003,0.15033501386642456,,,,,,,219
21,,,,,0.04436849057674408,4.463716983795166,1.6243680715560913,6.132453441619873,,0.16531910002231598,219
22,0.05235781893134117,2.819425106048584,1.427801251411438,0.12302432954311371,,,,,,,229
22,,,,,0.049396201968193054,2.2824857234954834,1.391729712486267,3.723611831665039,,0.17560021579265594,229
23,0.06165526062250137,2.345442056655884,1.6124868392944336,0.12468896806240082,,,,,,,239
23,,,,,0.06407343596220016,2.4469919204711914,1.5851956605911255,4.096261024475098,,0.1855412870645523,239
24,0.0476161353290081,4.6757049560546875,2.0621745586395264,0.16175198554992676,,,,,,,249
24,,,,,0.042516399174928665,4.4436564445495605,2.0325605869293213,6.518733501434326,,0.14471280574798584,249
25,0.04103352129459381,4.387922763824463,1.4199652671813965,0.14299163222312927,,,,,,,259
25,,,,,0.04205882176756859,3.776883363723755,1.3128283023834229,5.131770133972168,,0.16287466883659363,259
26,0.04494170472025871,2.7969777584075928,1.1124197244644165,0.11200545728206635,,,,,,,269
26,,,,,0.045123424381017685,2.8260509967803955,1.11665940284729,3.9878337383270264,,0.17512579262256622,269
27,0.044078219681978226,2.711871862411499,1.2523210048675537,0.1108388602733612,,,,,,,279
27,,,,,0.051630254834890366,2.704683542251587,1.263948678970337,4.020262241363525,,0.1773366928100586,279
28,0.06773489713668823,2.4074978828430176,1.4199957847595215,0.1300848126411438,,,,,,,289
28,,,,,0.0631309226155281,2.479769229888916,1.5299941301345825,4.07289457321167,,0.18618057668209076,289
29,0.06564796715974808,2.4417247772216797,1.489824652671814,0.1293807029724121,,,,,,,299
29,,,,,0.06709327548742294,2.4676711559295654,1.5422827005386353,4.077046871185303,,0.18866540491580963,299
30,0.05305997654795647,2.597738742828369,1.8540846109390259,0.12355560064315796,,,,,,,309
30,,,,,0.04745902121067047,2.6674516201019287,1.8784650564193726,4.5933756828308105,,0.15255577862262726,309
31,0.06010372191667557,2.4242377281188965,1.9074901342391968,0.12766337394714355,,,,,,,319
31,,,,,0.0602521188557148,2.4036996364593506,1.7796186208724976,4.243570327758789,,0.18022103607654572,319
32,0.056095726788043976,2.9756226539611816,1.7095118761062622,0.13270330429077148,,,,,,,329
32,,,,,0.05900762602686882,2.6266019344329834,1.6425014734268188,4.328111171722412,,0.1740245670080185,329
33,0.059354014694690704,2.4381091594696045,1.4468469619750977,0.12258467078208923,,,,,,,339
