epoch,loss_train/mse_loss,loss_train/stft_loss_magnitude,loss_train/stft_loss_spectral_convergence,loss_train/total_loss,loss_val/mse_loss,loss_val/stft_loss_magnitude,loss_val/stft_loss_spectral_convergence,loss_val/total_loss,metrics/MAE_val,step
0,0.05851474404335022,2.5223634243011475,1.0307430028915405,0.17778418958187103,,,,,,9
0,,,,,0.04002724960446358,2.3330233097076416,1.1722582578659058,3.545308828353882,0.14727729558944702,16
1,0.031385306268930435,2.327202081680298,1.301159381866455,0.12232625484466553,,,,,,19
1,0.026822514832019806,2.235983371734619,1.5612382888793945,0.11397707462310791,,,,,,29
1,,,,,0.027496665716171265,2.220060110092163,1.767293930053711,4.014850616455078,0.1115412786602974,33
2,0.03235461190342903,2.2365283966064453,1.9140597581863403,0.12858039140701294,,,,,,39
2,0.03315913677215576,2.0754802227020264,1.9782353639602661,0.1276102215051651,,,,,,49
2,,,,,0.02571508102118969,2.0979366302490234,2.036278247833252,4.1599297523498535,0.10274200141429901,50
3,0.029113976284861565,2.0325424671173096,2.1257877349853516,0.12013667821884155,,,,,,59
3,,,,,0.026131344959139824,2.0317792892456055,1.9413795471191406,3.9992902278900146,0.10955100506544113,67
4,0.03518250584602356,2.2507565021514893,2.508146286010742,0.14046160876750946,,,,,,69
4,0.030759483575820923,1.9869314432144165,1.9606174230575562,0.12086376547813416,,,,,,79
4,,,,,0.026048608124256134,2.019625186920166,1.9879772663116455,4.033650875091553,0.10521574318408966,84
5,0.020067986100912094,2.4126741886138916,1.7386729717254639,0.10577618330717087,,,,,,89
5,0.017836766317486763,2.0455658435821533,2.542811870574951,0.10201296955347061,,,,,,99
5,,,,,0.028100403025746346,2.02545166015625,1.804832935333252,3.8583853244781494,0.11950543522834778,101
6,0.029499761760234833,2.124680995941162,1.4991599321365356,0.11648473888635635,,,,,,109
6,,,,,0.02699810452759266,2.136324167251587,1.8427590131759644,4.0060811042785645,0.11059664934873581,118
7,0.040344398468732834,2.1170458793640137,2.053877353668213,0.1435684859752655,,,,,,119
7,0.01747402548789978,2.4501729011535645,1.8440420627593994,0.10239192843437195,,,,,,129
7,,,,,0.025375526398420334,2.1206984519958496,2.165358304977417,4.311432361602783,0.10190492123365402,135
8,0.032476093620061874,2.122810125350952,2.495602607727051,0.132364422082901,,,,,,139
8,0.03169099614024162,2.141319990158081,1.948860764503479,0.12569700181484222,,,,,,149
8,,,,,0.025684578344225883,2.13503360748291,2.114344596862793,4.2750630378723145,0.10338734835386276,152
9,0.018784981220960617,2.0862820148468018,1.9107269048690796,0.09840287268161774,,,,,,159
9,0.035407036542892456,2.023050546646118,2.0311241149902344,0.13158631324768066,,,,,,169
9,,,,,0.026767510920763016,2.0617144107818604,1.9075185060501099,3.9960005283355713,0.11027003079652786,169
10,0.04211032763123512,1.913238525390625,2.4268646240234375,0.14675407111644745,,,,,,179
10,,,,,0.025293268263339996,1.9955929517745972,2.1353743076324463,4.156260967254639,0.1029995009303093,186
11,0.013227625750005245,2.059563159942627,1.7798116207122803,0.0854446291923523,,,,,,189
11,0.02922787331044674,1.9672167301177979,2.1108357906341553,0.11890843510627747,,,,,,199
11,,,,,0.025719257071614265,1.9588444232940674,1.9770125150680542,3.9615767002105713,0.10588925331830978,203
12,0.019000789150595665,1.9717904329299927,1.9011327028274536,0.09644871205091476,,,,,,209
12,0.020587362349033356,2.3544392585754395,1.806954026222229,0.10633304715156555,,,,,,219
12,,,,,0.025461332872509956,1.9739364385604858,2.026125192642212,4.025523662567139,0.10450508445501328,220
13,0.02414776012301445,2.2692391872406006,1.808409571647644,0.11176440119743347,,,,,,229
13,,,,,0.02551940269768238,2.0147647857666016,2.0701558589935303,4.110439777374268,0.10536027699708939,237
14,0.03001406416296959,2.0062344074249268,2.1465179920196533,0.12161798775196075,,,,,,239
14,0.024205798283219337,2.002532958984375,2.0131051540374756,0.10859329998493195,,,,,,249
14,,,,,0.026311909779906273,1.9516891241073608,1.9255551099777222,3.9035558700561523,0.10541290789842606,254
15,0.03639376908540726,1.9365953207015991,1.4735649824142456,0.1262550950050354,,,,,,259
15,0.019409505650401115,1.9442355632781982,1.6665408611297607,0.09436912834644318,,,,,,269
