epoch,loss_train/mse_loss,loss_train/stft_loss_magnitude,loss_train/stft_loss_spectral_convergence,loss_train/total_loss,loss_val/mse_loss,loss_val/stft_loss_magnitude,loss_val/stft_loss_spectral_convergence,loss_val/total_loss,metrics/MAE_test,metrics/MAE_val,step
0,,,,,0.2082854062318802,2.0562174320220947,0.7423515319824219,3.006854295730591,,0.36736860871315,8
1,0.20871494710445404,1.7884517908096313,0.7148873209953308,2.7120540142059326,,,,,,,9
1,,,,,0.18354323506355286,1.7570439577102661,0.7366020083427429,2.6771891117095947,,0.33869341015815735,17
2,0.20505793392658234,1.7177939414978027,0.7537726163864136,2.6766245365142822,,,,,,,19
2,,,,,0.20789526402950287,1.6456447839736938,0.6883214116096497,2.5418612957000732,,0.36006706953048706,26
3,0.22761762142181396,1.5066184997558594,0.7061079144477844,2.4403440952301025,,,,,,,29
3,,,,,0.1850084513425827,1.58222234249115,0.6730852127075195,2.4403159618377686,,0.33780232071876526,35
4,0.19407108426094055,1.640575647354126,0.7194571495056152,2.5541038513183594,,,,,,,39
4,,,,,0.191755473613739,1.5413931608200073,0.6651754975318909,2.3983240127563477,,0.34736931324005127,44
5,0.1931842714548111,1.6253557205200195,0.6707584261894226,2.4892983436584473,,,,,,,49
5,,,,,0.23654711246490479,1.5173591375350952,0.7857896685600281,2.539695978164673,,0.3891913890838623,53
6,0.2501966655254364,1.3698538541793823,0.7103672027587891,2.3304176330566406,,,,,,,59
6,,,,,0.17718274891376495,1.5031476020812988,0.698018491268158,2.3783488273620605,,0.33658888936042786,62
7,0.18350033462047577,1.2880414724349976,0.6993210315704346,2.170862913131714,,,,,,,69
7,,,,,0.19756272435188293,1.4819914102554321,0.6384097933769226,2.3179640769958496,,0.3553982377052307,71
8,0.19085414707660675,1.693755865097046,0.6584985852241516,2.5431084632873535,,,,,,,79
8,,,,,0.1777932196855545,1.4615150690078735,0.6497203707695007,2.2890288829803467,,0.3353831171989441,80
9,0.18909971415996552,1.235164999961853,0.6092752814292908,2.0335400104522705,,,,,,,89
9,,,,,0.18394587934017181,1.44596266746521,0.6345704793930054,2.264478921890259,,0.34228646755218506,89
10,,,,,0.17738544940948486,1.433487892150879,0.638751208782196,2.249624729156494,,0.33512234687805176,98
11,0.17020875215530396,1.6753720045089722,0.685679018497467,2.531259775161743,,,,,,,99
11,,,,,0.18386942148208618,1.4268784523010254,0.648723840713501,2.2594716548919678,,0.34190303087234497,107
12,0.18506696820259094,1.2240397930145264,0.6669858694076538,2.0760927200317383,,,,,,,109
12,,,,,0.17430204153060913,1.4194111824035645,0.635918140411377,2.2296314239501953,,0.3313840925693512,116
13,0.21161268651485443,1.1756236553192139,0.5953938364982605,1.9826302528381348,,,,,,,119
13,,,,,0.18214930593967438,1.4142323732376099,0.6468080878257751,2.243189811706543,,0.3407713770866394,125
14,0.19135650992393494,1.6248549222946167,0.7003035545349121,2.516515016555786,,,,,,,129
