epoch,loss_train/mse_loss,loss_train/stft_loss_magnitude,loss_train/stft_loss_spectral_convergence,loss_train/total_loss,loss_val/mse_loss,loss_val/stft_loss_magnitude,loss_val/stft_loss_spectral_convergence,loss_val/total_loss,metrics/MAE_val,step
0,,,,,0.021241042762994766,6.136161804199219,1.6241414546966553,7.7815446853637695,0.1145152673125267,7
1,0.02515365555882454,6.243618488311768,1.55949866771698,7.830294132232666,,,,,,9
1,,,,,0.05039487034082413,5.785029888153076,1.1327202320098877,6.96814489364624,0.19851909577846527,15
2,0.0715697780251503,5.8026204109191895,1.0925294160842896,6.968608379364014,,,,,,19
2,,,,,0.10805545002222061,5.511743545532227,1.0505350828170776,6.6703338623046875,0.3077283203601837,23
3,0.15093974769115448,5.6364545822143555,1.0380910634994507,6.827877998352051,,,,,,29
3,,,,,0.17505678534507751,5.339303016662598,1.0286996364593506,6.543059349060059,0.40053313970565796,31
4,0.23337621986865997,5.372507095336914,1.0199068784713745,6.627606391906738,,,,,,39
4,,,,,0.2417370080947876,5.264066696166992,1.0199865102767944,6.525790214538574,0.47585469484329224,39
5,,,,,0.29135650396347046,5.21183443069458,1.016171932220459,6.519362449645996,0.5250950455665588,47
6,0.29644975066185,5.232296466827393,1.0177671909332275,6.548973560333252,,,,,,49
6,,,,,0.31481045484542847,5.147658348083496,1.0146750211715698,6.47714376449585,0.5468430519104004,55
7,0.3255370259284973,5.489501476287842,1.017662763595581,6.835138320922852,,,,,,59
7,,,,,0.32183343172073364,5.159692764282227,1.0142874717712402,6.495812892913818,0.5532001256942749,63
8,0.3116949200630188,5.444879531860352,1.0226644277572632,6.783283710479736,,,,,,69
8,,,,,0.29386454820632935,5.160555839538574,1.0157835483551025,6.4702043533325195,0.5274537205696106,71
9,0.26891905069351196,5.351223945617676,1.0242286920547485,6.647737503051758,,,,,,79
9,,,,,0.2608237862586975,5.1662397384643555,1.018156886100769,6.445219993591309,0.49532097578048706,79
10,,,,,0.2436988353729248,5.142545700073242,1.0195024013519287,6.405747413635254,0.4778490960597992,87
11,0.24525515735149384,5.198122024536133,1.0232521295547485,6.4707818031311035,,,,,,89
11,,,,,0.2377425730228424,5.083521842956543,1.0199040174484253,6.341168403625488,0.47160372138023376,95
12,0.2432536631822586,5.44401741027832,1.0244594812393188,6.7156243324279785,,,,,,99
12,,,,,0.2379346638917923,5.07012414932251,1.0196490287780762,6.327707767486572,0.47171324491500854,103
13,0.23202797770500183,5.059656620025635,1.0155227184295654,6.3096442222595215,,,,,,109
13,,,,,0.23185598850250244,5.048784255981445,1.0201067924499512,6.300746917724609,0.4653543531894684,111
14,0.23435889184474945,5.229923725128174,1.017549753189087,6.484646797180176,,,,,,119
14,,,,,0.2361731231212616,5.027589321136475,1.0197131633758545,6.283475875854492,0.4698747992515564,119
15,,,,,0.26045072078704834,5.005448818206787,1.0175318717956543,6.283431529998779,0.49482423067092896,127
16,0.2677469551563263,5.370778560638428,1.0244755744934082,6.668876647949219,,,,,,129
16,,,,,0.2598094344139099,4.998513698577881,1.0174435377120972,6.275766372680664,0.4942435622215271,135
17,0.2594948709011078,5.148221015930176,1.0215202569961548,6.434603691101074,,,,,,139
17,,,,,0.2508869171142578,5.001458644866943,1.0180730819702148,6.270418643951416,0.48515552282333374,143
18,0.240753173828125,5.014448165893555,1.0147687196731567,6.272764205932617,,,,,,149
18,,,,,0.2342919409275055,4.955230712890625,1.0192941427230835,6.2088165283203125,0.46779370307922363,151
19,0.22239819169044495,5.084904670715332,1.0246723890304565,6.3381028175354,,,,,,159
19,,,,,0.2182600051164627,4.967271327972412,1.0206999778747559,6.206231117248535,0.45049920678138733,159
20,,,,,0.21647553145885468,4.939906120300293,1.0206525325775146,6.177034378051758,0.44850119948387146,167
21,0.22087039053440094,5.038561820983887,1.0267972946166992,6.292726516723633,,,,,,169
21,,,,,0.21764883399009705,4.92418909072876,1.0202195644378662,6.162057399749756,0.4495185911655426,175
22,0.21996553242206573,4.90523099899292,1.0256606340408325,6.159844398498535,,,,,,179
22,,,,,0.2156279981136322,4.887643337249756,1.020088791847229,6.1233601570129395,0.44725194573402405,183
23,0.21360215544700623,5.039373874664307,1.0211882591247559,6.2812042236328125,,,,,,189
23,,,,,0.21101638674736023,4.893321990966797,1.0202882289886475,6.124626636505127,0.44213682413101196,191
24,0.20188705623149872,4.867182731628418,1.021393895149231,6.095197677612305,,,,,,199
24,,,,,0.20176760852336884,4.879912376403809,1.0209709405899048,6.1026506423950195,0.4314423203468323,199
25,,,,,0.20238718390464783,4.821478843688965,1.020346999168396,6.04421329498291,0.43197450041770935,207
26,0.20260383188724518,4.885252952575684,1.0215332508087158,6.1163787841796875,,,,,,209
26,,,,,0.1969173550605774,4.783490180969238,1.0204474925994873,6.000854969024658,0.42548125982284546,215
27,0.21470455825328827,5.06735372543335,1.0244029760360718,6.317553520202637,,,,,,219
27,,,,,0.21790075302124023,4.825549125671387,1.0182732343673706,6.061723232269287,0.4492579400539398,223
28,0.2164214551448822,5.125997543334961,1.022228479385376,6.374027729034424,,,,,,229
28,,,,,0.20854659378528595,4.8486809730529785,1.019076943397522,6.0763044357299805,0.43886733055114746,231
29,0.19933174550533295,4.896284103393555,1.0216785669326782,6.122467994689941,,,,,,239
29,,,,,0.19652748107910156,4.831714630126953,1.0196877717971802,6.047929763793945,0.42462101578712463,239
30,,,,,0.1859479695558548,4.825506687164307,1.0220205783843994,6.033475399017334,0.4124642014503479,247
31,0.18959343433380127,4.960888385772705,1.0310266017913818,6.191274166107178,,,,,,249
31,,,,,0.17670036852359772,4.719815731048584,1.0226298570632935,5.9191460609436035,0.4012487530708313,255
32,0.1758441925048828,4.9588942527771,1.0236750841140747,6.163094997406006,,,,,,259
32,,,,,0.17205922305583954,4.708706378936768,1.0212913751602173,5.902056694030762,0.3945314586162567,263
33,0.1693844497203827,4.728254318237305,1.0214035511016846,5.923619747161865,,,,,,269
33,,,,,0.16960114240646362,4.587759971618652,1.018384575843811,5.775745391845703,0.3900982439517975,271
34,0.17016024887561798,4.391280651092529,1.0153502225875854,5.585400104522705,,,,,,279
34,,,,,0.16990655660629272,4.51456880569458,1.0158827304840088,5.7003583908081055,0.38850274682044983,279
35,,,,,0.162545308470726,4.4776129722595215,1.0144485235214233,5.654606819152832,0.3774237632751465,287
36,0.16188384592533112,4.52303409576416,1.0143014192581177,5.7082438468933105,,,,,,289
36,,,,,0.15414533019065857,4.41982889175415,1.0123454332351685,5.586319923400879,0.36403438448905945,295
37,0.14980807900428772,4.386983871459961,1.0145624876022339,5.556611061096191,,,,,,299
37,,,,,0.14847294986248016,4.346161365509033,1.0097092390060425,5.504343509674072,0.35320594906806946,303
38,0.14250493049621582,4.7733025550842285,1.022465467453003,5.947675704956055,,,,,,309
38,,,,,0.13441717624664307,4.28523588180542,1.00542414188385,5.425077438354492,0.331332802772522,311
39,0.13479085266590118,4.071180820465088,0.9735326766967773,5.196279048919678,,,,,,319
39,,,,,0.12521496415138245,4.114738941192627,0.999026894569397,5.238980770111084,0.31505152583122253,319
40,,,,,0.11739706993103027,4.147014141082764,0.9964540600776672,5.260865211486816,0.30361953377723694,327
41,0.12290240824222565,4.185319900512695,0.9926287531852722,5.311988353729248,,,,,,329
41,,,,,0.11212167888879776,4.034819602966309,0.9879844784736633,5.134925842285156,0.2918197810649872,335
42,0.12434205412864685,3.6670455932617188,0.9451851844787598,4.750311374664307,,,,,,339
42,,,,,0.10870896279811859,3.935185194015503,0.9787598848342896,5.0226545333862305,0.2838999927043915,343
43,0.0928182601928711,3.840085029602051,0.9877652525901794,4.927544593811035,,,,,,349
43,,,,,0.1080809235572815,3.8026986122131348,0.9667452573776245,4.877524375915527,0.27550357580184937,351
44,0.10684113949537277,3.544370651245117,0.9631733298301697,4.624017238616943,,,,,,359
44,,,,,0.10454056411981583,3.626234769821167,0.9590232968330383,4.689798355102539,0.2693405747413635,359
45,,,,,0.09906540811061859,3.4094161987304688,0.9524087905883789,4.460890293121338,0.2610042095184326,367
46,0.11486519873142242,3.006723642349243,0.9053899049758911,4.043760299682617,,,,,,369
46,,,,,0.09589703381061554,3.1904592514038086,0.9484585523605347,4.234814643859863,0.25753021240234375,375
47,0.12448793649673462,2.5975914001464844,0.892317533493042,3.6330296993255615,,,,,,379
47,,,,,0.08984643965959549,2.8855226039886475,0.9436485171318054,3.9190173149108887,0.24926641583442688,383
48,0.1035497710108757,2.8719775676727295,0.9310946464538574,3.9268429279327393,,,,,,389
48,,,,,0.08530406653881073,2.6610684394836426,0.9433448910713196,3.6897170543670654,0.24416466057300568,391
49,0.0688091292977333,2.8069024085998535,0.9282421469688416,3.819812774658203,,,,,,399
49,,,,,0.07239717990159988,2.4880549907684326,0.9456979036331177,3.506150007247925,0.22043459117412567,399
50,,,,,0.06684397161006927,2.4578816890716553,0.9518979787826538,3.47662353515625,0.2104518860578537,407
51,0.0697973296046257,2.020329475402832,0.8765066862106323,2.9939475059509277,,,,,,409
51,,,,,0.06362839043140411,2.5045740604400635,0.9575198292732239,3.525722026824951,0.20270225405693054,415
52,0.06767265498638153,2.3380472660064697,0.9710215926170349,3.3926877975463867,,,,,,419
52,,,,,0.0635925754904747,2.4613840579986572,0.9527668952941895,3.477743625640869,0.20181067287921906,423
53,0.044363196939229965,2.6200437545776367,0.9990485310554504,3.671257495880127,,,,,,429
53,,,,,0.06834135949611664,2.4101755619049072,0.9513430595397949,3.4298598766326904,0.21174287796020508,431
54,0.0607961043715477,2.4150288105010986,0.9161885976791382,3.4113688468933105,,,,,,439
54,,,,,0.06735798716545105,2.39471173286438,0.94847172498703,3.410541534423828,0.2084002047777176,439
55,,,,,0.06456418335437775,2.2712483406066895,0.9461843371391296,3.281996965408325,0.20406553149223328,447
56,0.06267642974853516,2.39762282371521,0.9037792086601257,3.3868494033813477,,,,,,449
56,,,,,0.06467770785093307,2.2196316719055176,0.9414805173873901,3.225790023803711,0.20578351616859436,455
57,0.07199792563915253,2.230710744857788,0.8973091244697571,3.225905179977417,,,,,,459
57,,,,,0.06431002169847488,2.191282033920288,0.9399003982543945,3.1954925060272217,0.2067689448595047,463
58,0.07803171128034592,2.2376561164855957,0.9471738338470459,3.2863211631774902,,,,,,469
58,,,,,0.06710842996835709,2.1615889072418213,0.9387346506118774,3.1674318313598633,0.2117948979139328,471
59,0.06594448536634445,1.9474658966064453,0.9519892334938049,2.981036901473999,,,,,,479
59,,,,,0.0665496215224266,2.166970729827881,0.9386719465255737,3.172192335128784,0.2103758305311203,479
