epoch,loss_train/mse_loss,loss_train/stft_loss_magnitude,loss_train/stft_loss_spectral_convergence,loss_train/total_loss,loss_val/mse_loss,loss_val/stft_loss_magnitude,loss_val/stft_loss_spectral_convergence,loss_val/total_loss,metrics/MAE_test,metrics/MAE_val,step
0,,,,,6.387719631195068,2.046496629714966,0.9703757762908936,9.404592514038086,,2.329127788543701,8
1,6.285195827484131,1.6983695030212402,0.959376871585846,8.942941665649414,,,,,,,9
1,,,,,4.112070560455322,1.886643409729004,0.9647232890129089,6.963437557220459,,1.8543998003005981,17
2,2.5201706886291504,1.6481798887252808,0.9422779679298401,5.110628604888916,,,,,,,19
2,,,,,1.4082412719726562,1.8018393516540527,0.9360633492469788,4.146144390106201,,1.0398658514022827,26
3,0.7073896527290344,1.8668538331985474,0.895563006401062,3.469806671142578,,,,,,,29
3,,,,,0.5373651385307312,1.7538753747940063,0.9034348726272583,3.1946756839752197,,0.615786612033844,35
4,0.3033466339111328,1.5588610172271729,0.7385038733482361,2.6007115840911865,,,,,,,39
4,,,,,0.34640052914619446,1.719057559967041,0.8613204956054688,2.926778793334961,,0.47908759117126465,44
5,0.29781967401504517,1.8844341039657593,0.8060572147369385,2.9883108139038086,,,,,,,49
5,,,,,0.199285626411438,1.6860949993133545,0.7807351350784302,2.6661157608032227,,0.35857176780700684,53
6,0.20083162188529968,1.444791316986084,0.7751079797744751,2.4207310676574707,,,,,,,59
6,,,,,0.18871136009693146,1.6627944707870483,0.7552501559257507,2.6067562103271484,,0.34293708205223083,62
7,0.415509432554245,1.0942213535308838,0.7302951812744141,2.2400259971618652,,,,,,,69
7,,,,,0.36990150809288025,1.6546379327774048,0.7808088064193726,2.8053481578826904,,0.4814039468765259,71
8,0.219723641872406,1.5610870122909546,0.7041367888450623,2.484947443008423,,,,,,,79
8,,,,,0.1827259212732315,1.640960693359375,0.7612478733062744,2.584934711456299,,0.3409823775291443,80
9,0.1934838593006134,1.687408447265625,0.8184787631034851,2.699371099472046,,,,,,,89
9,,,,,0.4632870554924011,1.641398549079895,0.863365888595581,2.9680514335632324,,0.5518590807914734,89
10,,,,,0.234200119972229,1.6317998170852661,0.846907377243042,2.712907314300537,,0.38764888048171997,98
11,0.24444791674613953,1.5777170658111572,0.8307482004165649,2.6529130935668945,,,,,,,99
11,,,,,0.25158941745758057,1.6226669549942017,0.7908082008361816,2.665064811706543,,0.40031129121780396,107
12,0.18847087025642395,1.606197714805603,0.7787419557571411,2.5734105110168457,,,,,,,109
12,,,,,0.16430111229419708,1.6129623651504517,0.8259307742118835,2.603194236755371,,0.3205101490020752,116
13,0.29859310388565063,1.5478832721710205,0.7407007217407227,2.587177038192749,,,,,,,119
13,,,,,0.18076814711093903,1.608839750289917,0.7919153571128845,2.5815231800079346,,0.34004056453704834,125
14,0.2339843064546585,1.3595138788223267,0.7327849864959717,2.3262832164764404,,,,,,,129
14,,,,,0.2784384489059448,1.614996314048767,0.76576828956604,2.659203052520752,,0.4155440032482147,134
15,0.318059504032135,1.2310726642608643,0.7210686206817627,2.270200729370117,,,,,,,139
15,,,,,0.3838063180446625,1.6166391372680664,0.7874224781990051,2.787867784500122,,0.4826726019382477,143
16,0.3632240295410156,1.3947011232376099,0.7427420020103455,2.500667095184326,,,,,,,149
16,,,,,0.21676026284694672,1.6063305139541626,0.7377772927284241,2.56086802482605,,0.37085115909576416,152
17,0.3054259121417999,1.6565062999725342,0.7406598925590515,2.702592134475708,,,,,,,159
17,,,,,0.25995081663131714,1.6075351238250732,0.7985650897026062,2.666050910949707,,0.4006444215774536,161
18,0.3221334218978882,1.7874484062194824,0.7783384323120117,2.887920379638672,,,,,,,169
18,,,,,0.2680256962776184,1.6116756200790405,0.8316816687583923,2.711383104324341,,0.4105640947818756,170
19,0.2445344179868698,1.2852948904037476,0.7784509658813477,2.3082802295684814,,,,,,,179
19,,,,,0.20916056632995605,1.6087090969085693,0.835395336151123,2.6532649993896484,,0.3617229759693146,179
20,,,,,0.19056759774684906,1.6027368307113647,0.8281574249267578,2.621461868286133,,0.3491867482662201,188
21,0.19017834961414337,1.2377045154571533,0.7978475093841553,2.2257304191589355,,,,,,,189
21,,,,,0.17920520901679993,1.5958940982818604,0.7966850399971008,2.571784257888794,,0.33823296427726746,197
22,0.21932436525821686,1.3381192684173584,0.7298222184181213,2.2872657775878906,,,,,,,199
22,,,,,0.17031161487102509,1.5902305841445923,0.7987361550331116,2.5592784881591797,,0.328573614358902,206
23,0.2537369728088379,1.105861783027649,0.675978422164917,2.0355772972106934,,,,,,,209
23,,,,,0.19919423758983612,1.5848671197891235,0.7294559478759766,2.513517379760742,,0.35207411646842957,215
24,2.6543350219726562,1.7263766527175903,0.9450432062149048,5.325754642486572,,,,,,,219
24,,,,,2.0727570056915283,1.604413628578186,0.9560806751251221,4.633251190185547,,1.2725571393966675,224
25,0.8580735325813293,1.2706021070480347,0.9304262399673462,3.0591020584106445,,,,,,,229
25,,,,,0.45955225825309753,1.5990209579467773,0.9051535725593567,2.963726758956909,,0.550355076789856,233
26,0.31700941920280457,1.1381500959396362,0.8423058986663818,2.2974653244018555,,,,,,,239
26,,,,,0.30886492133140564,1.592238426208496,0.9140410423278809,2.8151443004608154,,0.44103768467903137,242
27,0.28235143423080444,1.0907270908355713,0.8080281019210815,2.1811065673828125,,,,,,,249
27,,,,,0.2799190878868103,1.5856828689575195,0.8472740054130554,2.7128758430480957,,0.41979679465293884,251
28,0.2158161699771881,1.198033094406128,0.7639183402061462,2.177767753601074,,,,,,,259
28,,,,,0.20757874846458435,1.58087158203125,0.8036141395568848,2.592064619064331,,0.3596714437007904,260
29,0.20145903527736664,1.6233482360839844,0.7307742238044739,2.555581569671631,,,,,,,269
29,,,,,0.18896223604679108,1.5779072046279907,0.7750014066696167,2.5418708324432373,,0.3430362641811371,269
30,,,,,0.17333026230335236,1.5741289854049683,0.771129310131073,2.5185885429382324,,0.32832562923431396,278
31,0.2212737500667572,1.0709106922149658,0.6885809898376465,1.980765461921692,,,,,,,279
31,,,,,0.17123742401599884,1.5727744102478027,0.7568921446800232,2.500903844833374,,0.32698723673820496,287
32,0.19896799325942993,1.1686980724334717,0.6986244320869446,2.0662903785705566,,,,,,,289
32,,,,,0.19341282546520233,1.571920394897461,0.7346327900886536,2.4999661445617676,,0.3484375476837158,296
33,0.2164994478225708,1.1818188428878784,0.6843904852867126,2.0827088356018066,,,,,,,299
33,,,,,0.19736358523368835,1.5711448192596436,0.8001353740692139,2.568643808364868,,0.3512859344482422,305
34,0.1860625296831131,1.4124443531036377,0.7508946657180786,2.3494014739990234,,,,,,,309
34,,,,,0.1760648488998413,1.5701528787612915,0.7684748768806458,2.514692544937134,,0.3331054151058197,314
35,,,,,,,,,0.3580171465873718,,315
