epoch,loss_train/mse_loss,loss_train/stft_loss_magnitude,loss_train/stft_loss_spectral_convergence,loss_train/total_loss,loss_val/mse_loss,loss_val/stft_loss_magnitude,loss_val/stft_loss_spectral_convergence,loss_val/total_loss,metrics/MAE_val,step
0,,,,,0.020360974594950676,6.314105987548828,2.993583917617798,9.32805061340332,0.10312465578317642,3
1,,,,,0.022132838144898415,6.070763111114502,2.183683395385742,8.276578903198242,0.10977456718683243,7
2,0.021212445572018623,6.043550968170166,1.9986956119537354,8.228169441223145,,,,,,9
2,,,,,0.024883050471544266,6.04081916809082,1.7515617609024048,7.817263603210449,0.11938141286373138,11
3,,,,,0.028935741633176804,5.902559757232666,1.4993045330047607,7.430799961090088,0.13267946243286133,15
4,0.028687532991170883,5.641648769378662,1.2678452730178833,7.082897186279297,,,,,,19
4,,,,,0.035984963178634644,5.76386833190918,1.3138474225997925,7.113700866699219,0.15343928337097168,19
5,,,,,0.0478682816028595,5.709254741668701,1.1964980363845825,6.953620910644531,0.1848490983247757,23
6,,,,,0.06750105321407318,5.630649089813232,1.1179556846618652,6.816105842590332,0.228715181350708,27
7,0.07085534185171127,5.325213432312012,1.0898489952087402,6.637516975402832,,,,,,29
7,,,,,0.09583361446857452,5.548969268798828,1.075303554534912,6.720106601715088,0.28143277764320374,31
8,,,,,0.13111969828605652,5.515263080596924,1.0510157346725464,6.6973981857299805,0.33657488226890564,35
9,0.15647688508033752,5.142512798309326,1.0349115133285522,6.498344898223877,,,,,,39
9,,,,,0.16844868659973145,5.441134929656982,1.0379372835159302,6.647521018981934,0.3869258761405945,39
10,,,,,0.2006649523973465,5.431713104248047,1.0310255289077759,6.663403511047363,0.4259602427482605,43
11,,,,,0.22207708656787872,5.38723611831665,1.0274832248687744,6.636796474456787,0.450084388256073,47
12,0.2255096733570099,5.191247940063477,1.0274667739868164,6.619215965270996,,,,,,49
12,,,,,0.2312198132276535,5.389918327331543,1.0259976387023926,6.6471357345581055,0.4599289000034332,51
13,,,,,0.23052005469799042,5.378336429595947,1.0257351398468018,6.634591579437256,0.45912402868270874,55
14,0.2237156480550766,5.0915327072143555,1.0243704319000244,6.512333393096924,,,,,,59
14,,,,,0.22318348288536072,5.3831706047058105,1.0268800258636475,6.633233547210693,0.45129576325416565,59
15,,,,,0.21229319274425507,5.338325023651123,1.028306245803833,6.578924655914307,0.4389900267124176,63
16,,,,,0.2018878012895584,5.379980564117432,1.0299488306045532,6.611817359924316,0.4273868203163147,67
17,0.19366540014743805,4.896704196929932,1.0208606719970703,6.284000396728516,,,,,,69
17,,,,,0.19252200424671173,5.359598636627197,1.0314692258834839,6.583590030670166,0.41639670729637146,71
18,,,,,0.18593913316726685,5.354179382324219,1.0327706336975098,6.572889804840088,0.40851110219955444,75
19,0.17802304029464722,5.041321754455566,1.027561068534851,6.42411470413208,,,,,,79
19,,,,,0.180231973528862,5.318445682525635,1.033767819404602,6.532445430755615,0.40157851576805115,79
20,,,,,0.17603439092636108,5.294357776641846,1.0338612794876099,6.504253387451172,0.3962356448173523,83
21,,,,,0.17283077538013458,5.291510105133057,1.033862590789795,6.498203277587891,0.3922151029109955,87
22,0.1710156947374344,4.986702919006348,1.0305359363555908,6.411708354949951,,,,,,89
22,,,,,0.1707206517457962,5.244429588317871,1.0328933000564575,6.4480438232421875,0.38916027545928955,91
23,,,,,0.17135708034038544,5.230075836181641,1.0325932502746582,6.43402624130249,0.3895273506641388,95
24,0.17238852381706238,5.066497325897217,1.0368965864181519,6.523117542266846,,,,,,99
24,,,,,0.17172487080097198,5.243030548095703,1.0326145887374878,6.4473700523376465,0.3904362916946411,99
25,,,,,0.17118912935256958,5.218459606170654,1.0333627462387085,6.423011779785156,0.38996097445487976,103
26,,,,,0.1699792742729187,5.183188438415527,1.0333940982818604,6.386561870574951,0.388161301612854,107
27,0.16853025555610657,4.987968921661377,1.031430721282959,6.430108070373535,,,,,,109
27,,,,,0.16906271874904633,5.16401481628418,1.0333781242370605,6.366455554962158,0.38696181774139404,111
28,,,,,0.16767670214176178,5.111798286437988,1.0333595275878906,6.312834739685059,0.3850509226322174,115
29,0.1641707718372345,4.841861248016357,1.0300791263580322,6.274965763092041,,,,,,119
29,,,,,0.16650347411632538,5.119366645812988,1.0332703590393066,6.319140434265137,0.38343337178230286,119
30,,,,,0.16619771718978882,5.103762149810791,1.032852053642273,6.302811622619629,0.3829632103443146,123
31,,,,,0.1650542914867401,5.081851482391357,1.0326355695724487,6.279541492462158,0.3813585340976715,127
32,0.1633191704750061,4.8483099937438965,1.032622218132019,6.2824530601501465,,,,,,129
32,,,,,0.1635775864124298,5.064092636108398,1.032410979270935,6.2600812911987305,0.3791322410106659,131
33,,,,,0.16168223321437836,5.059134483337402,1.0321491956710815,6.252965927124023,0.37653079628944397,135
34,0.1565820574760437,4.789031028747559,1.0283281803131104,6.165992259979248,,,,,,139
34,,,,,0.1593141108751297,5.02000093460083,1.0322301387786865,6.211544990539551,0.3733532726764679,139
35,,,,,0.15706829726696014,5.009819507598877,1.0325555801391602,6.199443340301514,0.3706075847148895,143
36,,,,,0.15507464110851288,4.984499454498291,1.0322163105010986,6.17179012298584,0.3677031099796295,147
37,0.1563900262117386,4.8568878173828125,1.036865472793579,6.329793453216553,,,,,,149
37,,,,,0.15308356285095215,4.99268913269043,1.0315499305725098,6.1773223876953125,0.3643965721130371,151
38,,,,,0.14930221438407898,4.977269649505615,1.0318351984024048,6.158407211303711,0.35960084199905396,155
39,0.14634253084659576,4.781469821929932,1.0326253175735474,6.218506813049316,,,,,,159
